Country,CTS Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,Expenditure on Biodiversity & Landscape Protection,1527000000.1150794,1770000000.1290534,1966000000.1394057,1844000000.1283453,2266000000.1504645,2542000000.1602793,2167000000.1288147,2162000000.1243353,2876000000.1596475,2910000000.1689754,2674000000.1476593,2707000000.1465735,2812000000.1483903,4062000000.2105017,4201000000.212047,4049000000.1988354,4178000000.1982155,4012000000.182949,4277000000.1898093,4046000000.1750793,4373000000.188173,4221000000.1685586
Denmark,Expenditure on Environmental Protection Not Elsewhere Classified,2357000000.1776304,2472000000.1802373,2285000000.1620255,2232000000.1553507,2295000000.15239,2689000000.169548,2787000000.16567,2242000000.1289363,2279000000.1265078,2105000000.1222315,2306000000.127338,2062000000.1116493,2110000000.1113455,2347000000.1216264,2379000000.120081,2350000000.115402,2268000000.1075997,2285000000.104197,2341000000.1038914,2410000000.1042857,2450000000.1054254,2807000000.1120925
Denmark,Expenditure on Environmental Protection R&D,559000000.042128,1672000000.121908,2124000000.1506093,2147000000.1494343,1795000000.1191897,2095000000.1320946,1913000000.1137161,2531000000.1455564,684000000.037969,767000000.0445375,786000000.0434033,741000000.0401223,767000000.0404749,777000000.0402658,731000000.0368975,372000000.0182679,420000000.0199259,452000000.0206114,448000000.01988184,429000000.01856375,451000000.01940686,385000000.0153743
Denmark,Expenditure on Pollution Abatement,1867000000.1407027,1957000000.1426878,2694000000.191027,1781000000.1239603,1399000000.092895,1612000000.1016405,1759000000.1045618,1006000000.0578544,1266000000.070276,1153000000.0669515,986000000.0544473,1043000000.0564744,1101000000.0581002,1126000000.0583518,1242000000.0626905,1171000000.0575047,898000000.0426035,1092000000.0497956,752000000.033373,804000000.0347908,766000000.0329616,771000000.0307885
Denmark,Expenditure on Waste Management,361000000.02720606,430000000.0313519,529000000.0375105,943000000.0656343,702000000.0466135,933000000.0588279,928000000.0551639,1039000000.0597522,1074000000.059618,628000000.0364662,566000000.0312548,409000000.02214575,657000000.0346701,681000000.0352908,498000000.0251367,518000000.0254376,545000000.0258563,808000000.0368452,887000000.0393642,1016000000.0439645,1008000000.043375,721000000.0287919
Denmark,Expenditure on Waste Water Management,2000000.000150726,1000000.0000729,8000000.000567266,17000000.001183227,30000000.00199203,15000000.000945786,109000000.00647938,42000000.002415396,24000000.001332246,25000000.00145168,129000000.00712343,122000000.00660583,130000000.00686015,136000000.0070478,146000000.0073694,155000000.00761163,191000000.00906155,220000000.01003212,233000000.01034033,275000000.0118998,336000000.01445836,344000000.013737
"Estonia, Rep. of",Environmental Protection Expenditures,32800000.531462412,50700000.72562605,48300000.61744335,62500000.71474151,68200000.69752195,105100000.92654058,107500000.79225112,140200000.85480872,178700001.07533547,108900000.7705992,-38100000.258461036,-28700000.17209072,158300000.88353375,126000000.66628663,137000000.68335208,149500000.7246247,128800000.5922411,175300000.73551533,193400000.74579182,187300000.67459688,184200000.67067224,174400000.5546206
"Estonia, Rep. of",Expenditure on Biodiversity & Landscape Protection,9000000.145828102,9600000.137396649,11300000.14445362,16300000.186404588,14800000.1513684,30600000.26976348,35700000.26310107,31500000.192057595,43500000.26176325,31300000.221485354,25000000.169593856,27900000.16729377,39400000.21990669,33400000.17661884,24700000.123202898,24500000.1187512,23200000.106676966,47700000.20013737,22900000.088307302,29400000.105889738,24400000.088840406,24800000.078868065
"Estonia, Rep. of",Expenditure on Environmental Protection Not Elsewhere Classified,9800000.1587906,13000000.18605796,13700000.175134035,16700000.190978933,12100000.123753894,16600000.14634228,-5900000.043481689,20600000.12559957,22000000.13238601,200000.001415242,13300000.090223933,22100000.13251585,20400000.113860317,4000000.021151957,4200000.02094948,19600000.095000964,15300000.07035162,15600000.06545373,22600000.08715044,14500000.052224532,21400000.077917404,12000000.038161967
"Estonia, Rep. of",Expenditure on Environmental Protection R&D,2100000.034026557,2300000.032917947,2900000.037072168,3200000.036594766,4600000.047046935,6300000.05553954,6700000.049377512,10200000.062190078,12700000.076422835,9500000.067223988,19500000.132283207,15300000.091741744,14200000.079255711,19400000.10258699,19400000.096766647,20000000.096939757,19600000.090123642,19100000.080138862,17500000.067483746,20200000.072754174,22300000.081194308,20000000.06360328
"Estonia, Rep. of",Expenditure on Pollution Abatement,500000.008101561,4500000.064404679,1000000.012783506,1100000.012579451,5800000.059320049,7200000.06347376,15700000.115705512,14500000.088407464,13500000.08123687,8200000.058024917,-150900001.02366853,-172300001.03314397,27800000.155162588,14100000.074560648,40200000.200516455,28300000.137169756,15000000.068972178,23300000.09776102,51900000.20013751,35000000.12605921,28300000.103040308,14900000.047384443
