Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,1,,,1,2,1,,1,,,1,,1,1,1,1,,,,1,4,2,2,5,1,2,1,,1,1,1,1,,1,2,1,1,1,1,2
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,1,,,,1,1,1,,1,,1,,,2,1,1,1,1,2,1,1,,2,2,1,,2,,2,1,2,2,1,,,,,1,1,1,1,4
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",1,1,1,1,1,2,4,3,2,2,1,1,2,1,3,4,2,3,3,3,1,2,2,7,4,5,5,3,2,3,1,4,3,3,2,1,2,3,4,2,2,4,6
Canada,CA,CAN,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",1,,,,,1,2,,,1,,,1,,1,2,,1,1,1,,1,1,1,,2,,,,,,1,,,,1,1,1,1,,,1,
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,,1,,,,,,,,,,,,,,,
Canary Island,,SPI,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Cayman Islands,KY,CYM,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,1,2,,2,,,,2,,,,,,,,,,,,,,
Cayman Islands,KY,CYM,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,1,2,,2,,,,2,,,,,,,,,,,,,,
Central African Rep.,CF,CAF,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Central African Rep.,CF,CAF,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,1,1,,1,2,,,,1,1,1,,1,1,1,1,1,,1,,,,1,,1,,1,1
Central African Rep.,CF,CAF,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,1,2,1,,1,,1,,,,,
Central African Rep.,CF,CAF,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,1,,1,,,,,,,,,,,,2,1,,1,2,,1,1,1,1,1,,1,1,3,1,2,2,2,,1,,2,,1,,1,3
Central African Rep.,CF,CAF,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
Chad,TD,TCD,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",1,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1
Chad,TD,TCD,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,1,,,1,,,1,,,,1,,,1,1,,1,,,,,1,2,2,2,1,,2,,,,,,,1,2,1,1
Chad,TD,TCD,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Chad,TD,TCD,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Chad,TD,TCD,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",1,,,,,1,,,2,,,1,,1,,1,,1,1,1,,2,,,,,1,3,2,3,1,,3,,,,,1,,2,2,1,2
Chile,CL,CHL,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CL,CHL,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,1,,,,,1,,1,,1,,,1,,,1,1,,1,,,,,,,,,
Chile,CL,CHL,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,1,,,,1,2,,1,1,,,1,,1,,1,,,2,3,3,,1,2,1,,2,,,,1,,1,2,1,3,,1,,1,
Chile,CL,CHL,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Chile,CL,CHL,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,2,,1,,,,,,2,,,,,2,,,,1,,,,1,,,,,,,,,,1,,,,,,1,
Chile,CL,CHL,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,1,,2,,2,3,,1,1,2,3,2,,2,,4,,1,3,4,5,1,2,3,1,1,2,,1,3,2,1,2,4,1,5,,2,,2,2
Chile,CL,CHL,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,1,1,,,,1,,1,,,1,1,,,,,,,,2,1,,1,1,,1,,1,,,2
"China, P.R.: Hong Kong",HK,HKG,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.: Hong Kong",HK,HKG,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.: Hong Kong",HK,HKG,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,1,1,,2,,1,,1,,,1,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
"China, P.R.: Hong Kong",HK,HKG,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.: Hong Kong",HK,HKG,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",2,,1,2,,1,2,,1,2,,1,2,6,,,,1,,1,,,,2,,,,,3,1,1,,,,,,,2,1,,,2,
"China, P.R.: Hong Kong",HK,HKG,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",2,1,4,4,,3,2,2,1,3,,1,3,7,1,,,2,,1,,,,2,,1,,,3,1,1,,,,,,,2,1,,,2,
"China, P.R.: Hong Kong",HK,HKG,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.: Macao",MO,MAC,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"China, P.R.: Macao",MO,MAC,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"China, P.R.: Mainland",CN,CHN,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,1,,1,,,1,,,1,2,,2,1,,1,,1,3,2,3,2,,2,1,,1,2,1,,,1,2,1,1,1,,,,1,1
"China, P.R.: Mainland",CN,CHN,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,1,,,,,,,,1,,,3,,,,,1,,1,1,,,2,,,1,1,1,,,1,,,,,,
"China, P.R.: Mainland",CN,CHN,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",4,5,4,1,2,7,2,4,8,1,3,3,6,4,6,3,4,6,5,6,9,9,10,6,9,11,20,11,7,7,5,5,12,14,13,12,12,12,8,6,5,4,4
"China, P.R.: Mainland",CN,CHN,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,2,,1,1,,1,2,1,,1,,1,1,1,4,2,1,1,2,6,4,2,1,,1,1,4,5,8,2,1,3,2,1,3,4,,2,1,,1
"China, P.R.: Mainland",CN,CHN,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",1,1,,5,2,3,7,6,4,7,11,5,8,11,5,6,8,5,5,9,10,10,6,5,7,14,8,6,9,10,6,5,8,15,16,17,13,9,12,4,4,7,1
"China, P.R.: Mainland",CN,CHN,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",5,7,6,7,5,12,10,12,15,9,14,10,16,16,15,12,16,17,11,18,24,27,24,16,18,28,30,18,23,24,21,13,22,34,33,31,30,26,20,13,11,12,7
"China, P.R.: Mainland",CN,CHN,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,1,,,,,,1,,,,,,,,1,,,,1,,,,1,,,,,,,1,,,,,,,,,1,1,,
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",1,1,1,,1,,1,1,1,1,4,,,1,3,1,2,1,,3,3,2,4,3,2,3,1,4,2,1,3,2,3,1,4,1,2,4,2,5,3,10,9
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,1,1,,,,3,2,,,,3,,3,,1,1,,1,2,,2,1,1,,,,,1,2,2,1,,,,1,,2,,1,1,1,4
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,1,,,1,,1,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,,,1,,,2,,1
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",1,2,2,1,1,,5,3,2,1,4,4,,4,3,2,3,1,2,6,3,6,5,4,2,4,1,4,3,3,6,3,3,1,5,4,2,7,2,6,6,11,14
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,
"Comoros, Union of the",KM,COM,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comoros, Union of the",KM,COM,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
"Comoros, Union of the",KM,COM,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,1,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,2,,,
"Comoros, Union of the",KM,COM,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,1,,1,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,,,2,,,
"Congo, Dem. Rep. of the",CD,COD,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Congo, Dem. Rep. of the",CD,COD,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,1,,,,1,,,1,,1,,2,1,2,,,3,1,1,1,2,2,1,,1,3,2,1,1,1,6,,4
"Congo, Dem. Rep. of the",CD,COD,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,1,,2,,,
"Congo, Dem. Rep. of the",CD,COD,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,1,,,,,,,,,,,,,,
"Congo, Dem. Rep. of the",CD,COD,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium _ www.emdat.be",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",,,,1,,,,,,1,1,,,,1,,,1,,1,,3,1,4,,1,4,1,2,2,4,2,1,,2,4,2,2,1,3,6,,5
